72.99 1.81
109.53 0.78
135.17 3.77
172.80 1.24
250.33 0.00
289.81 3.06
395.81 1.31
664.95 1.81
684.93 9.18
740.96 0.88
848.79 0.12
904.04 6.67
928.64 2.64
965.26 0.12
1056.80 1.11
1094.28 0.22
1141.10 6.15
1145.85 0.44
1227.19 0.10
1261.60 1.79
1300.22 0.04
1317.81 0.18
1353.82 8.31
1394.92 3.03
1396.36 4.00
1403.58 6.05
1436.45 10.64
1470.68 1.01
1481.44 0.66
1490.11 5.13
1495.93 5.12
1732.80 88.00
2949.31 100.00
3034.53 16.28
3046.44 17.89
3056.77 17.88
3066.94 22.74
3077.53 5.74
3091.57 3.15
3123.26 20.55
3146.47 33.93
3151.75 23.72
