52.42 5.53
89.99 3.14
234.40 0.29
259.06 1.21
274.09 1.26
347.51 1.45
369.29 0.01
496.91 0.72
502.43 10.64
781.21 1.63
874.12 0.22
918.54 0.84
944.02 0.26
974.62 2.41
999.73 4.77
1009.57 3.16
1122.33 2.58
1155.64 11.78
1201.54 1.95
1240.84 5.37
1279.79 12.77
1350.37 0.95
1354.70 0.26
1391.63 7.97
1408.70 4.29
1412.85 3.80
1456.47 4.74
1474.36 0.44
1486.20 1.62
1496.60 4.51
1499.76 9.56
1724.44 100.00
2962.70 70.16
3050.93 19.36
3052.73 19.50
3055.52 5.03
3064.63 23.28
3136.45 9.88
3140.00 12.62
3143.28 21.76
3145.45 34.92
3150.27 23.68
